id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
LockTy00,Tyler Lockett,SEA,wr,@ 10:34 PM EDT,31,16.7,,,,,,,,,,,,,,,,49.0,78.2,6.7,995.8,,71.3,,16.5,,,,,,,,,,,,,,,,,13.66
JoneMa04,Mac Jones,NE,qb,@ 10:34 PM EDT,25,15.5,,486.7,321.1,177.3,11.7,21.6,20.7,3532.3,7.3,,,46.5,6.1,1.1,122.6,,,,,,,,,,,,,,,,,,,,,,,,,14.05
StroCJ00,C.J. Stroud,HOU,qb,@ 10:34 PM EDT,22,15.6,,518.6,326.4,184.7,15.7,23.0,19.1,3486.2,6.7,,,56.0,11.3,2.1,227.6,,,,,,,,,,,,,,,,,,,,,,,,,13.85
TannRy00,Ryan Tannehill,TEN,qb,@ 10:34 PM EDT,35,15.4,,445.0,290.7,161.3,10.6,25.2,18.4,3244.0,7.3,,,42.3,10.5,2.9,189.1,,,,,,,,,,,,,,,,,,,,,,,,,13.97
HopkDe00,DeAndre Hopkins,TEN,wr,@ 10:34 PM EDT,31,15.6,,,,,,,,,,,,0.8,0.1,,3.5,49.0,81.6,6.2,967.4,,,,,,,,,,,,,,,,,,,,,13.79
HarrNa00,Najee Harris,PIT,rb,@ 10:34 PM EDT,25,15.5,,,,,,,,,,,,238.9,44.9,7.7,928.3,18.1,41.8,1.6,265.0,,,,,,,,,,,,,,,,,,,,,13.88
WatsCh00,Christian Watson,GB,wr,@ 10:34 PM EDT,24,16.3,,,,,,,,,,,,7.2,2.5,0.2,58.5,46.1,67.2,6.5,999.7,,,,,,,,,,,,,,,,,,,,,13.13
GodwCh00,Chris Godwin,TB,wr,@ 10:34 PM EDT,27,15.5,,,,,,,,,,,,2.0,0.5,0.0,12.8,49.9,85.4,4.8,975.7,,,,,,,,,,,,,,,,,,,,,13.75
SamuDe00,Deebo Samuel,SF,wr,@ 10:34 PM EDT,27,15.9,,,,,,,,,,,,39.7,10.9,1.8,224.6,40.8,63.4,5.1,855.8,,,,,,,,,,,,,,,,,,,,,13.33
PierDa01,Dameon Pierce,HOU,rb,@ 10:34 PM EDT,23,15.5,,,,,,,,,,,,239.0,46.5,5.9,1014.2,17.9,40.3,1.4,274.6,,,,,,,,,,,,,,,,,,,,,13.66
